Name, Radius, Inclination, Position Angle, Distance, a_in, a_out, eccentricity, ksi0, gamma, beta, omega, x_center, y_center, knots
hr4796a_H_pol, 78.5, 76.5, 26.1, 72.78, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
aumic_H_pol, 30.2, 89.4, 128.6, 9.72, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd145560_H_pol, 85.3, 43.9, 221.5, 120.44, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd146897_H_pol, 85.0, 84.0, 293.9, 131.50, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
ceant_H_pol, 29.8, 13.1, 271.0, 34.03, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd61005_H_pol, 48.0, 84.3, 70.7, 36.49, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd111520_H_pol, 81.0, 88.0, 165.0, 108.94, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd115600_H_pol, 46.0, 80.0, 27.5, 109.62, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd129590_H_pol, 66.9, 75.7, 121.7, 136.04, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd117214_H_pol, 60.2, 71.0, 359.8, 107.61, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
betpic_H_pol, 23.6, 85.3, 30.4, 19.44, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd35841_H_pol, 60.3, 84.9, 345.8, 103.68, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd30447_H_pol, 83.0, 83.0, 32.3, 80.54, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd32297_H_pol, 95, 88.4, 47.9, 132.79, 5, -2.5, 0, 3, 2, 1, 0, 90,90, 6
hr7012_H_pol, 10.8, 76.2, 112.3, 28.55, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd110058_H_pol, 39.0, 88.0, 335.0, 129.98, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd111161_H_pol, 72.4, 62.1, 263.2, 109.43, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd157587_H_pol, 79.0, 70.0, 127.0, 100.51, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd143675_H_pol, 48.1, 87.2, 113.2, 139.20, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd131835_H_pol, 107.7, 75.1, 61.4, 133.65, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd106906_H_pol, 72.3, 84.6, 104.2, 103.33, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd114082_H_pol, 30.7, 83.3, 285.7, 95.65, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd191089_H_pol, 43.9, 59.0, 70.0, 50.13, 5, -5, 0, 3, 2, 1, 0, 90,90, 6
hd156623_H_pol, 60, 34.9, 280.9, 111.75, 3.5, -3.5, 0, 3, 2, 1, 0, 90,90, 6
